1,1,9.999000099990002E-5,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
17,1,0.0016998300169983002,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
17,2,0.0016998300169983002,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
18,1,0.0017998200179982,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
18,2,0.0017998200179982,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
19,1,0.0018998100189981002,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
19,2,0.0018998100189981002,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
20,1,0.001999800019998,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
20,2,0.001999800019998,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
21,1,0.0020997900209979003,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
21,2,0.0020997900209979003,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
22,1,0.0021997800219978004,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
22,2,0.0021997800219978004,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
23,1,0.0022997700229977,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
23,2,0.0022997700229977,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
24,1,0.0023997600239976003,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
24,2,0.0023997600239976003,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
25,1,0.0024997500249975004,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
25,2,0.0024997500249975004,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
26,1,0.0025997400259974,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
26,2,0.0025997400259974,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
27,1,0.0026997300269973002,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
27,2,0.0026997300269973002,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
28,1,0.0027997200279972004,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
28,2,0.0027997200279972004,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
29,1,0.0028997100289971,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
29,2,0.0028997100289971,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
30,1,0.0029997000299970002,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
30,2,0.0029997000299970002,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
31,1,0.0030996900309969004,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
31,2,0.0030996900309969004,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
32,1,0.0031996800319968005,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
32,2,0.0031996800319968005,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
33,1,0.0032996700329967,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
33,2,0.0032996700329967,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
34,1,0.0033996600339966003,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
34,2,0.0033996600339966003,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
35,1,0.0034996500349965005,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
35,2,0.0034996500349965005,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
36,1,0.0035996400359964,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
36,2,0.0035996400359964,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
37,1,0.0036996300369963003,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
37,2,0.0036996300369963003,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
38,1,0.0037996200379962005,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
38,2,0.0037996200379962005,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
39,1,0.0038996100389961006,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
39,2,0.0038996100389961006,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
40,1,0.003999600039996,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
40,2,0.003999600039996,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
41,1,0.0040995900409959,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
41,2,0.0040995900409959,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
42,1,0.004199580041995801,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
42,2,0.004199580041995801,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
43,1,0.004299570042995701,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
43,2,0.004299570042995701,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
44,1,0.004399560043995601,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
44,2,0.004399560043995601,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
45,1,0.0044995500449955,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
45,2,0.0044995500449955,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
46,1,0.0045995400459954,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
46,2,0.0045995400459954,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
47,1,0.0046995300469953,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
47,2,0.0046995300469953,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
48,1,0.0047995200479952005,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
48,2,0.0047995200479952005,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
49,1,0.004899510048995101,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
49,2,0.004899510048995101,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
50,1,0.004999500049995001,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
50,2,0.004999500049995001,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
51,1,0.005099490050994901,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
51,2,0.005099490050994901,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
52,1,0.0051994800519948,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
52,2,0.0051994800519948,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
53,1,0.0052994700529947,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
53,2,0.0052994700529947,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
54,1,0.0053994600539946005,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
54,2,0.0053994600539946005,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
55,1,0.005499450054994501,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
55,2,0.005499450054994501,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
56,1,0.005599440055994401,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
56,2,0.005599440055994401,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
57,1,0.005699430056994301,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
57,2,0.005699430056994301,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
58,1,0.0057994200579942,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
58,2,0.0057994200579942,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
59,1,0.0058994100589941,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
59,2,0.0058994100589941,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
60,1,0.0059994000599940004,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
60,2,0.0059994000599940004,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
61,1,0.006099390060993901,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
61,2,0.006099390060993901,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
62,1,0.006199380061993801,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
62,2,0.006199380061993801,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
63,1,0.006299370062993701,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
63,2,0.006299370062993701,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
64,1,0.006399360063993601,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
64,2,0.006399360063993601,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
65,1,0.0064993500649935,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
65,2,0.0064993500649935,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
66,1,0.0065993400659934,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
66,2,0.0065993400659934,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
67,1,0.0066993300669933005,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
67,2,0.0066993300669933005,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
68,1,0.006799320067993201,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
68,2,0.006799320067993201,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
69,1,0.006899310068993101,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
69,2,0.006899310068993101,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
70,1,0.006999300069993001,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
70,2,0.006999300069993001,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
71,1,0.007099290070992901,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
71,2,0.007099290070992901,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
72,1,0.0071992800719928,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
72,2,0.0071992800719928,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
73,1,0.0072992700729927005,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
73,2,0.0072992700729927005,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
74,1,0.007399260073992601,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
74,2,0.007399260073992601,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
75,1,0.007499250074992501,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
75,2,0.007499250074992501,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
76,1,0.007599240075992401,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
76,2,0.007599240075992401,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
77,1,0.007699230076992301,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
77,2,0.007699230076992301,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
78,1,0.007799220077992201,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
78,2,0.007799220077992201,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
79,1,0.007899210078992101,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
79,2,0.007899210078992101,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
80,1,0.007999200079992,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
80,2,0.007999200079992,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
81,1,0.008099190080991902,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
81,2,0.008099190080991902,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
82,1,0.0081991800819918,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
82,2,0.0081991800819918,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
83,1,0.0082991700829917,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
83,2,0.0082991700829917,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
84,1,0.008399160083991601,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
84,2,0.008399160083991601,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
85,1,0.0084991500849915,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
85,2,0.0084991500849915,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
86,1,0.008599140085991401,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
86,2,0.008599140085991401,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
87,1,0.0086991300869913,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
87,2,0.0086991300869913,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
88,1,0.008799120087991202,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
88,2,0.008799120087991202,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
89,1,0.008899110088991101,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
89,2,0.008899110088991101,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
90,1,0.008999100089991,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
90,2,0.008999100089991,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
91,1,0.009099090090990901,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
91,2,0.009099090090990901,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
92,1,0.0091990800919908,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
92,2,0.0091990800919908,AgentGG@1,(Offer  bid:Bid[Segmentation: all to one(cons. comp.), Water Canal: Medium, Park: None, Functionality: Commercial])
93,1,0.009299070092990702,AgentGG@0,(Offer  bid:Bid[Segmentation: all to one(farmer), Water Canal: Medium, Park: Small, Functionality: Farming])
