1,1,0.0055248618784530384,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
70,1,0.3867403314917127,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
70,2,0.3867403314917127,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
71,1,0.39226519337016574,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
71,2,0.39226519337016574,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
72,1,0.39779005524861877,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
72,2,0.39779005524861877,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
73,1,0.40331491712707185,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
73,2,0.40331491712707185,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
74,1,0.4088397790055249,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
74,2,0.4088397790055249,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
75,1,0.4143646408839779,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
75,2,0.4143646408839779,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
76,1,0.4198895027624309,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
76,2,0.4198895027624309,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
77,1,0.425414364640884,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
77,2,0.425414364640884,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
78,1,0.430939226519337,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
78,2,0.430939226519337,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
79,1,0.43646408839779005,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
79,2,0.43646408839779005,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
80,1,0.4419889502762431,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
80,2,0.4419889502762431,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
81,1,0.44751381215469616,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
81,2,0.44751381215469616,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
82,1,0.4530386740331492,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
82,2,0.4530386740331492,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
83,1,0.4585635359116022,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
83,2,0.4585635359116022,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
84,1,0.46408839779005523,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
84,2,0.46408839779005523,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
85,1,0.4696132596685083,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
85,2,0.4696132596685083,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
86,1,0.47513812154696133,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
86,2,0.47513812154696133,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
87,1,0.48066298342541436,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
87,2,0.48066298342541436,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
88,1,0.4861878453038674,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
88,2,0.4861878453038674,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
89,1,0.49171270718232046,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
89,2,0.49171270718232046,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
90,1,0.4972375690607735,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d4])
90,2,0.4972375690607735,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
91,1,0.5027624309392266,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
91,2,0.5027624309392266,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
92,1,0.5082872928176796,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
92,2,0.5082872928176796,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
93,1,0.5138121546961326,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
93,2,0.5138121546961326,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
94,1,0.5193370165745856,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
94,2,0.5193370165745856,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
95,1,0.5248618784530387,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
95,2,0.5248618784530387,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
96,1,0.5303867403314917,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1])
96,2,0.5303867403314917,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
97,1,0.5359116022099447,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
97,2,0.5359116022099447,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
98,1,0.5414364640883977,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
98,2,0.5414364640883977,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
99,1,0.5469613259668509,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
99,2,0.5469613259668509,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
100,1,0.5524861878453039,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
100,2,0.5524861878453039,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
101,1,0.5580110497237569,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
101,2,0.5580110497237569,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
102,1,0.56353591160221,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
102,2,0.56353591160221,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
103,1,0.569060773480663,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
103,2,0.569060773480663,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
104,1,0.574585635359116,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
104,2,0.574585635359116,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
105,1,0.580110497237569,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
105,2,0.580110497237569,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
106,1,0.585635359116022,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
106,2,0.585635359116022,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
107,1,0.5911602209944752,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1])
107,2,0.5911602209944752,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
108,1,0.5966850828729282,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
108,2,0.5966850828729282,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
109,1,0.6022099447513812,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
109,2,0.6022099447513812,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
110,1,0.6077348066298343,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
110,2,0.6077348066298343,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
111,1,0.6132596685082873,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
111,2,0.6132596685082873,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
112,1,0.6187845303867403,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1])
112,2,0.6187845303867403,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
113,1,0.6243093922651933,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d2])
113,2,0.6243093922651933,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
114,1,0.6298342541436464,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1])
114,2,0.6298342541436464,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
115,1,0.6353591160220995,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1])
115,2,0.6353591160220995,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
116,1,0.6408839779005525,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
116,2,0.6408839779005525,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
117,1,0.6464088397790055,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d4])
117,2,0.6464088397790055,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
118,1,0.6519337016574586,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d1])
118,2,0.6519337016574586,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
119,1,0.6574585635359116,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d1])
119,2,0.6574585635359116,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
120,1,0.6629834254143646,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1])
120,2,0.6629834254143646,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
121,1,0.6685082872928176,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d2])
121,2,0.6685082872928176,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
122,1,0.6740331491712708,AgentGG@0,(Offer  bid:Bid[a: a1, b: b2, c: c1, d: d1])
122,2,0.6740331491712708,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
123,1,0.6795580110497238,AgentGG@0,(Offer  bid:Bid[a: a1, b: b1, c: c1, d: d1])
123,2,0.6795580110497238,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
124,1,0.6850828729281768,AgentGG@0,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
124,2,0.6850828729281768,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
125,1,0.6906077348066298,AgentGG@0,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
125,2,0.6906077348066298,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
126,1,0.6961325966850829,AgentGG@0,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
126,2,0.6961325966850829,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
127,1,0.7016574585635359,AgentGG@0,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d4])
127,2,0.7016574585635359,AgentGG@1,(Offer  bid:Bid[a: a2, b: b2, c: c2, d: d2])
128,1,0.7071823204419889,AgentGG@0,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d2])
128,2,0.7071823204419889,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d2])
129,1,0.712707182320442,AgentGG@0,(Offer  bid:Bid[a: a1, b: b3, c: c1, d: d4])
129,2,0.712707182320442,AgentGG@1,(Offer  bid:Bid[a: a2, b: b3, c: c2, d: d1])
